"tweet_id","created_at","engagements","followers_at_post","url","text"
"1966627346720403495","2025-09-12T22:17Z","15000000","284500","https://x.com/ProjectConstitu/status/1966627346720403495","🚨EXCLUSIVE: FULL Lost Debate Video Shows Charlie Kirk HUMILIATING His Future Killer Leftist Tyler Robinson's Meltdown EXPOSED🔥 Unearthed Footage Reveals Chilling Debate Between Charlie Kirk and His Future Assassin Tyler Robinson A Stark Warning on Radical Indoctrination In a tragic turn of events today conservative icon Charlie Kirk was gunned down at Utah Valley University by 22-year-old Tyler Robinson the SAME unhinged leftist who clashed with him in a heated debate EXACTLY ONE YEAR AGO. This full unedited debate from that confrontation lays it ALL bare: Robinson's sick narcissistic"
"1973422630888931397","2025-10-01T16:19Z","13900000","230500","https://x.com/ProjectConstitu/status/1973422630888931397","🚨 BREAKING ANALYSIS: New Video Evidence Suggests Shot Fired FROM INSIDE the Tent https://x.com/ProjectConstitu/status/1973304018572071043 https://t.co/QySvAXMIPQ https://x.com/ProjectConstitu/status/1973304018572071043 https://t.co/QySvAXMIPQ"
"1974524484158681334","2025-10-04T17:18Z","13600000","246100","https://x.com/ProjectConstitu/status/1974524484158681334","🚨BREAKING: NEW CAMERA ANGLE BLOWS OPEN CHARLIE KIRK SHOOTING Shooter HID Behind Tent Another day another camera angle and this one changes EVERYTHING. From this new footage you can clearly see what Ive been saying: Charlie was shot from BEHIND the tent with what appears to be an Israeli CornerShot-style weapon fired through the gap between the top of the tent and the vinyl banner. Watch closely: the moment the shot rings out the camera crew instantly pivots toward the direction of the shot exactly where I believe the real shooter was hiding. We need to see the full footage from that camera"
"2032664550525268015","2026-03-14T03:46Z","11700000","284400","https://x.com/ProjectConstitu/status/2032664550525268015","🚨 THE SMOKING GUN: Leaked DOJ Wiretap Audio Captures Erika Kirk Scheduling Underage Girls for Epstein 😱 I have been sent a bombshell audio file and I have verified its authenticity. This is not a rumor. This is not a theory. This is a recorded phone call from the DOJ's own website hidden in plain sight within the released Epstein Files (DataSet 9). The direct link is posted below for anyone to check in the: This audio captures a young girl who is clearly an informant for the DOJ on a recorded phone call with ERIKA KIRK. You can hear the DOJ agents coaching the girl before and after the"
"1969499443545141752","2025-09-20T20:30Z","7700000","280300","https://x.com/ProjectConstitu/status/1969499443545141752","🚨BOMBSHELL: MIND-BLOWING Twist In Charlie Kirk MURDER: Shot From UTILITY SHAFT BEHIND HIM We Might've Been WRONG All Along New footage just droppedwatch this BLUR of something ZOOMING FAST exiting BETWEEN Charlie's legs near his knees Line up the trajectory to his neck wound. and BAM it points STRAIGHT to that utility shaft right in line behind him If true this OBLITERATES every theoryincluding my original one and the FBI's roof BS Bullet path from below/behind Hmm. makes you wonder what ELSE they're hiding. Thoughts everyone This could CHANGE the game VIDEO FROM: @Oh_Skiller THOUGHTS"
"1993746024058224816","2025-11-26T18:17Z","7000000","250700","https://x.com/ProjectConstitu/status/1993746024058224816","🚨SHOCKING: A Young CHRISTIAN WOMAN Walked Into A TPUSA Faith Event Expecting Jesus She Left HORRIFIED. Heres What She Witnessed: I went to a Turning Point USA Faith event tonight thinking Id hear politics through a biblical lens. Instead I got 90 minutes of weaponized hate from the stage and it broke my heart. The speaker opened by declaring Candace Owens evil and anti-Semitic before even opening the Bible. He spent the night trashing Tucker Carlson calling left-leaning people idiots freaks and losers while the crowd cheered. He preached that Christians must support the modern nation-state"
"2037267819503517932","2026-03-26T20:37Z","6900000","274400","https://x.com/ProjectConstitu/status/2037267819503517932","🚨EXPOSED: Newly RESURFACED Video of Erika Kirk in a Bathrobe Rapping In BED With Her Then Roommate Sydney Stahl Give Off HUGE Lesbian Vibes😱 A newly resurfaced 2018 video just dropped showing Erika Kirk (formerly Frantzve) half-naked in a bathrobe rapping alongside her then roomate and former Miss North Carolina USA Sydney Stahl. And if the video itself wasn't enough of a red flag regarding the carefully crafted ""conservative"" image Erika projects today the context behind their relationship raises even more massive questions. Back in 2018 Erika and Sydney were roommates in New York City. We"
"2026776492282139091","2026-02-25T21:49Z","6200000","284400","https://x.com/ProjectConstitu/status/2026776492282139091","🚨LET""S GO Candace Owens New Erika Kirk Docuseries ""The Bride Of Charlie"" Drops NOW : A Wrinkle In Time Episode 1 / FOLLOW @RealCandaceO https://www.youtube.com/live/ZAsV0fHGBiMsi=0yep8zUGWBLT22Be https://www.youtube.com/live/ZAsV0fHGBiMsi=0yep8zUGWBLT22Be"
"1967477012647342455","2025-09-15T06:34Z","5900000","160400","https://x.com/ProjectConstitu/status/1967477012647342455","🚨 BREAKING: VIDEO Suggest Charlie Kirk Might Of Been SHOT From The Right Side From Behind Not From Some Rooftop Sniper This public video is crystal clear and appears to show that Charlie Kirk might have been shot from the right side from behind not from some rooftop sniper You can even spot what appears to be the bullet streaking in just before impact and in another angle catch its reflection off someone's phone screenis this proof of a close-range hit from the rear. The trajectory the blood spray the way he fellit's all there. This explains why the FBI can't ""find"" the bullet that killed"
"1982018864486535468","2025-10-25T09:38Z","5200000","246400","https://x.com/ProjectConstitu/status/1982018864486535468","🚨 BOMBSHELL EXPOS: Pastor Rob McCoy CAUGHT LYING About His Son's ""Heroic"" Actions After Charlie Kirk's Assassination😡 In a fiery Sunday sermon Pastor Rob McCoy painted a heroic picture of his 24-year-old son Mikey McCoyCharlie Kirk's personal chef chief of staff and supposed best friend who was right by his side at UVU on that fateful day. Rob claimed: ""The minute Charlie was shot he called me. 'Dad Charlie's been shot in the neck. Please call every pastor and pray.' . He had wits about him he was just directing he had blood all over him. Still there phone in his hand texting talking."" But"
"2026813316039848010","2026-02-26T00:15Z","5000000","284400","https://x.com/ProjectConstitu/status/2026813316039848010","🚨BOMBSHELL: Candace Owens Just UNCOVERED Erika Kirk's SECRET Early Years And Its WILDER Than Anyone Expected. Was Erika BORN A MALE 🤯 Tonight on The Bride of Charlie Candace dropped the most mind-blowing connection yet. Erika didnt just move to Arizona after the divorce. She attended an ultra-elite ultra-weird charter school called Tesseract literally housed inside a Jewish school named Gaan Yaladim Looking Glass School. Yes. Looking Glass. The same name as the top-secret CIA Project Looking Glass the alleged time-travel program that used stolen Sumerian technology to peer into the future."
